,pair_id,id_1,id_2,text_1,text_2,is_paraphrase
25,26,116,4223,"['счётный', 'палата', 'проверить', 'газпром', 'на', 'непрофильный', 'актив']","['счётный', 'палата', 'проверить', '``', 'газпром', ""''"", 'впервые', 'за', 'пять', 'год']",0
26,27,10,4120,"['новый', 'комикс', 'о', 'пророк', 'мухаммед', 'появиться', 'в', 'франция']","['в', 'франция', 'издали', 'комикс', 'по', 'мотив', 'жизнь', 'пророк', 'мухаммад']",1
27,28,8,4121,"['число', 'убитый', 'в', 'ход', 'конфликт', 'в', 'сирия', 'превысить', '60', 'тысяча']","['в', 'ход', 'сирийский', 'конфликт', 'погибнуть', '60', 'тысяча', 'человек']",0
28,29,15,4122,"['в', 'сша', 'скончаться', 'звезда', 'эстрада', '1950-й', 'патти', 'пейдж']","['скончаться', 'американский', 'певица', 'патти', 'пейдж']",1
29,30,13,4123,"['сенат', 'сша', 'единогласно', 'осудить', '``', 'закон', 'дима', 'яковлев', ""''""]","['сенат', 'сша', 'единогласно', 'осудить', 'запрет', 'на', 'усыновление']",1
30,31,241,4360,"['госдума', 'ещё', 'на', 'шаг', 'приблизить', 'антитабачный', 'закон']","['госдума', 'принять', 'антитабачный', 'законопроект', 'в', 'второй', 'чтение']",0
31,32,242,4360,"['лдпр', '80', '%', 'житель', 'россия', 'поддерживать', 'антитабачный', 'закон']","['госдума', 'принять', 'антитабачный', 'законопроект', 'в', 'второй', 'чтение']",-1
32,34,186,4299,"['ск', 'выяснить', 'быть', 'ли', 'подкуп', 'свидетель', 'по', 'дело', 'ю.буданов']","['ск', 'проверить', 'информация', 'о', 'подкуп', 'свидетель', 'по', 'дело', 'о', 'убийство', 'буданов']",1
33,35,182,4300,"['ебрра', 'повысить', 'прогноз', 'рост', 'экономика', 'рф', 'в', '2013г']","['ебрра', 'повысить', 'прогноз', 'по', 'рост', 'экономика', 'россия']",0
34,36,14,4124,"['в', 'ватикан', 'перестать', 'принимать', 'платёж', 'банковский', 'карта']","['цб', 'италия', 'запретить', 'платёж', 'банковский', 'карта', 'в', 'ватикан']",1
35,37,117,4224,"['в', 'германия', 'начаться', 'процесс', 'по', 'дело', 'российский', 'шпион', 'супруг', 'аншлаг']","['в', 'германия', 'начаться', 'процесс', 'над', 'российский', 'шпион']",1
36,38,190,4302,"['глава', 'управа', 'район', 'северный', 'медведково', 'задержать', 'за', 'взятка']","['глава', 'управа', 'северный', 'медведково', 'поймать', 'на', 'взятка']",1
37,39,118,4225,"['``', 'болотный', 'дело', ""''"", 'в', 'скр', 'на', 'допрос', 'ждать', 'блогер', 'митя', 'алешковский']","['митя', 'алешковский', 'вызвать', 'на', 'допрос', 'по', '``', 'болотный', 'дело', ""''""]",1
38,40,19,4125,"['сша', 'получить', '$', '1,4', 'млрд', 'за', 'авария', 'на', 'нефтяной', 'платформа', 'в', 'мексиканский', 'залив']","['владелец', 'платформа', 'deepwater', 'horizon', 'оштрафовать', 'на', '1,4', 'миллиард', 'доллар']",1
39,41,21,4126,"['корреспондент', 'российский', 'телеканал', 'ранить', 'в', 'пригород', 'дамаск']","['в', 'сирия', 'ранить', 'корреспондент', 'российский', 'телеканал']",1
40,42,20,4127,"['взрыв', 'на', 'заправочный', 'станция', 'в', 'дамаск', 'унести', 'жизнь', '11', 'человек']","['при', 'взрыв', 'на', 'автозаправка', 'в', 'дамаск', 'погибнуть', '11', 'человек']",1
41,43,180,4303,"['в', 'эритрея', 'произойти', 'попытка', 'государственный', 'переворот']","['в', 'эритрея', 'произойти', 'попытка', 'военный', 'переворот']",1
42,44,17,4128,"['старый', 'банк', 'швейцария', 'закрываться', 'из-за', 'американский', 'клиент']","['старый', 'банк', 'швейцария', 'закрыться', 'из-за', 'иск', 'власть', 'сша']",0
43,45,115,4226,"['экономический', 'ущерб', 'от', '``', 'арабский', 'весна', ""''"", 'составить', '$', '225', 'млрд']","['оценка', 'убыток', 'от', '``', 'арабский', 'весна', ""''"", 'повысить', 'до', '225', 'миллиард', 'доллар']",1
44,46,18,4129,"['марокканский', 'бедуин', 'наслать', 'в', 'сахара', 'уникальный', 'марсианский', 'метеорит']","['в', 'сахара', 'обнаружить', 'рекордно', 'влажный', 'марсианский', 'метеорит']",0
45,47,16,4130,"['пойти', 'на', 'посадка', '``', 'аэросвита', ""''"", 'начать', 'процедура', 'банкротство']","['украинский', 'суд', 'начать', 'процедура', 'банкротство', 'компания', '``', 'аэросвита', ""''""]",1
46,48,258,4361,"['в', 'египетский', 'суэц', 'из-за', 'беспорядок', 'ввести', 'правительственный', 'войско']","['в', 'египетский', 'суэц', 'ввести', 'войско']",0
47,49,119,4227,"['ржд', 'подать', 'иск', 'о', 'взыскание', '2', 'млн', 'рубль', 'с', 'apple']","['ржд', 'через', 'суд', 'потребовать', 'с', 'apple', '2', 'миллион', 'рубль']",1
48,50,261,4362,"['умереть', 'ветеран', 'правозащитный', 'движение', 'в.абрамкин']","['умереть', 'ветеран', 'правозащитный', 'движение', 'валерий', 'абрамкин']",1
49,51,260,4363,"['в', 'египет', 'приговорить', 'к', 'смерть', 'участник', 'погром', 'на', 'стадион', 'в', 'порт-саид']","['в', 'египет', 'вынести', 'смертный', 'приговор', 'за', 'погром', 'на', 'стадион']",1
50,52,257,4364,"['в', 'египетский', 'порт-саид', 'вводить', 'войско', 'из-за', 'разбушеваться', 'фанат']","['египетский', 'армия', 'блокировать', 'порт-саид']",0
51,53,259,4365,"['в', 'подмосковье', 'накрыть', 'сходка', 'криминальный', 'авторитет']","['на', 'сходка', 'криминальный', 'авторитет', 'в', 'подмосковье', 'задержать', '23', 'человек']",1
52,54,262,4366,"['пожар', 'в', 'новостройка', 'на', 'юго-запад', 'москва', '10', 'погибнуть']","['в', 'пожар', 'на', 'юго-запад', 'москва', 'погибнуть', '9', 'человек']",0
53,55,256,4367,"['первый', 'patriot', 'в', 'турция', 'привести', 'в', 'боевой', 'готовность']","['первый', 'батарея', 'patriot', 'заступить', 'на', 'боевой', 'дежурство', 'в', 'турция']",1
54,56,109,4228,"['работа', 'генконсульство', 'рф', 'в', 'сирийский', 'алеппо', 'временно', 'приостановить']","['рф', 'приостановить', 'деятельность', 'консульство', 'в', 'алеппо']",1
55,57,265,4368,"['сми', 'власть', 'просить', 'житель', 'крымск', 'вернуть', 'часть', 'компенсация']","['от', 'житель', 'крымск', 'потребовать', 'вернуть', 'часть', 'материальный', 'помощь']",1
56,58,268,4369,"['в', 'главный', 'здание', 'мгу', 'загореться', 'столовая']","['из', 'главное', 'здание', 'мгу', 'эвакуировать', 'около', '300', 'человек']",-1
57,59,121,4229,"['пропасть', 'на', 'эльбрус', 'альпинист', 'найти', 'мёртвый', 'на', 'высота', '5', 'км']","['на', 'эльбрус', 'наслать', 'мёртвый', 'пропасть', 'московский', 'альпинист']",1
58,60,266,4370,"['в', 'правительство', 'вновь', 'высказаться', 'за', 'муниципальный', 'фильтр', 'на', 'выборы']","['правительство', 'выступить', 'против', 'отмена', 'муниципальный', 'фильтр', 'для', 'парламентский', 'партия']",-1
59,61,185,4304,"['рф', 'отправить', 'за', 'российский', 'гражданин', 'в', 'сирия', 'два', 'самолёт']","['мчс', 'отправлять', 'два', 'самолёт', 'для', 'вывоз', 'россиянин', 'из', 'сирия']",1
60,62,267,4371,"['при', 'пожар', 'в', 'ночной', 'клуб', 'в', 'бразилия', 'погибнуть', '245', 'человек']","['при', 'пожар', 'в', 'бразильский', 'ночной', 'клуб', 'погибнуть', '90', 'человек']",0
61,63,269,4371,"['при', 'пожар', 'в', 'ночной', 'клуб', 'в', 'бразилия', 'погибнуть', 'более', '200', 'человек']","['при', 'пожар', 'в', 'бразильский', 'ночной', 'клуб', 'погибнуть', '90', 'человек']",0
62,64,264,4372,"['главный', '``', 'барометр', ""''"", 'сша', 'отдавать', '``', 'оскар', ""''"", 'фильм', '``', 'операция', '``', 'арго', ""''""]","['гильдия', 'продюсер', 'сша', 'назвать', 'операция', '„арго', '“', 'фильм', 'год']",0
63,65,190,4305,"['глава', 'управа', 'район', 'северный', 'медведково', 'задержать', 'за', 'взятка']","['поймать', 'на', 'взятка', 'глава', 'управа', 'северный', 'медведково', 'уволить']",-1
64,66,263,4373,"['премьер', 'эфиопия', 'возглавить', 'африканский', 'союз']","['премьер-министр', 'эфиопия', 'возглавить', 'африканский', 'союз']",1
65,67,26,4131,"['в', 'флорида', 'самолёт', 'упасть', 'на', 'дом', '3', 'погибнуть']","['самолёт', 'упасть', 'на', 'жилой', 'дом', 'в', 'флорида']",0
66,68,27,4132,"['пожар', 'в', 'покровский', 'больница', 'двое', 'погибнуть', '50', 'эвакуировать']","['два', 'человек', 'погибнуть', 'при', 'пожар', 'в', 'больница', 'в', 'санкт-петербург']",0
67,69,28,4133,"['в', 'альпы', 'разбиться', 'снегоход', 'с', 'российский', 'турист']","['группа', 'турист', 'разбиться', 'на', 'снегоход', 'в', 'альпы']",1
68,70,120,4230,"['число', 'погибнуть', 'при', 'взрыв', 'в', 'университет', 'алеппо', 'превысить', '80']","['в', 'университет', 'алеппо', 'произойти', 'взрыв']",0
69,71,24,4134,"['генконсул', 'рф', 'назвать', 'имя', 'россиянин', 'погибнуть', 'в', 'альпы']","['стать', 'известный', 'имя', 'погибнуть', 'в', 'альпы', 'россиянин']",1
70,72,272,4374,"['французский', 'и', 'малийский', 'военнослужащий', 'выбить', 'исламист', 'из', 'тимбукт']","['французский', 'и', 'малийский', 'войско', 'войти', 'в', 'тимбукт']",1
71,73,23,4135,"['у', 'берег', 'аляска', 'произойти', 'землетрясение', 'магнитуда', '7.5']","['у', 'берег', 'аляска', 'произойти', 'землетрясение', 'магнитуда', '7,7']",0
72,74,204,4306,"['принц', 'гарри', 'закончить', 'военный', 'служба', 'в', 'афганистан']","['британский', 'принц', 'гарри', 'завершить', 'служба', 'в', 'афганистан']",1
73,75,271,4375,"['единоросс', 'получить', 'более', '90', '%', 'голос', 'на', 'выборы', 'мэр', 'кемерово']","['единороса', 'набрать', '90', 'процент', 'голос', 'на', 'выборы', 'мэр', 'кемерово']",1
74,76,195,4307,"['в', 'мали', 'режим', 'чрезвычайный', 'положение', 'продлить', 'на', '3', 'месяц']","['власть', 'мали', 'продлить', 'на', 'три', 'месяц', 'режим', 'чрезвычайный', 'положение']",1
75,77,22,4136,"['жерар', 'депардье', 'прибыть', 'в', 'сочи', 'за', 'российский', 'паспорт']","['депардье', 'прилететь', 'в', 'сочи', 'за', 'российский', 'паспорт']",1
76,78,114,4231,"['россия', 'дать', 'бангладеш', '$', '500', 'млн', 'на', 'строительство', 'первый', 'в', 'страна', 'аэс']","['``', 'росатом', ""''"", 'назвать', 'дата', 'строительство', 'аэс', 'в', 'бангладеш']",-1
77,79,276,4376,"['бразилия', 'скорбеть', 'по', '233', 'жертва', 'пожар', 'в', 'клуб', 'kiss']","['в', 'бразилия', 'объявить', 'трёхдневный', 'траур', 'по', 'жертва', 'пожар', 'в', 'клуб']",1
78,80,32,4137,"['режим', 'чс', 'ввести', 'в', 'якутия', 'из-за', 'нашествие', 'волков']","['в', 'якутия', 'ввести', 'режим', 'чс', 'из-за', 'волков']",1
79,81,31,4138,"['на', 'трасса', 'в', 'пермский', 'край', 'в', 'результат', 'дтп', 'погибнуть', '5', 'человек']","['в', 'колумбия', 'в', 'дтп', 'погибнуть', '11', 'человек']",-1
80,82,29,4139,"['у', 'гражданин', 'таджикистан', 'в', 'москва', 'изъять', '13', 'кг', 'героин']","['в', 'москва', 'у', 'таджик', 'изъять', '13', 'килограмм', 'героин']",1
81,83,200,4308,"['pussy', 'riot', 'сразиться', 'за', 'британский', 'премия', 'с', 'rolling', 'stones', 'и', 'д.боуя']","['pussy', 'riot', 'выдвинуть', 'на', 'соискание', 'премия', 'nme']",0
82,84,281,4377,"['шесть', 'моряк', 'с', 'перевернуться', 'в', 'японский', 'море', 'судный', 'погибнуть']","['в', 'японский', 'море', 'найти', 'тело', 'шесть', 'погибнуть', 'моряк', 'с', 'шанса-101']",0
83,85,203,4308,"['группа', 'pussy', 'riot', 'выдвинуть', 'на', 'престижный', 'британский', 'премия']","['pussy', 'riot', 'выдвинуть', 'на', 'соискание', 'премия', 'nme']",0
84,86,279,4378,"['возбудить', 'уголовный', 'дело', 'о', 'строительство', 'дорога', 'к', 'дача', 'зять', 'а.сердюков']","['по', 'факт', 'строительство', 'дорога', 'к', 'дача', 'зять', 'сердюков', 'возбудить', 'дело']",1
85,87,30,4140,"['скончаться', 'старый', 'жительница', 'сша']","['скончаться', 'старый', 'гражданин', 'сша']",0
86,88,199,4309,"['mcdonald', '’', 's', 'заплатить', 'штраф', 'в', '$', '700', 'тыс', 'за', 'продажа', 'нехаляльный', 'бургер']","['mcdonald', ""'s"", 'согласиться', 'заплатить', 'мусульманин', '700', 'тысяча', 'доллар']",0
87,89,277,4379,"['минобрнауки', 'предлагать', 'выплачивать', 'усыновитель', 'инвалид', '100', 'тыс', 'руб']","['минобрнауки', 'предложить', 'увеличить', 'выплата', 'усыновитель', 'инвалид']",1
88,90,210,4310,"['камаз', 'оставить', 'без', 'газ', 'более', '20', 'тыс', 'человек', 'в', 'грозный']","['в', 'грозный', 'камаз', 'оставить', 'без', 'газ', 'более', '20', 'тысяча', 'человек']",1
89,91,37,4141,"['боевик', 'на', 'северный', 'кавказ', 'готовить', 'теракт', 'на', 'рождество']","['убитый', 'в', 'кабардино-балкария', 'боевик', 'готовить', 'серия', 'теракт', 'на', 'рождество']",0
90,92,34,4142,"['хиллари', 'клинтон', 'возвращаться', 'к', 'работа', 'после', 'болезнь']","['хиллари', 'клинтон', 'вернуться', 'на', 'работа']",1
91,93,209,4311,"['в', 'подмосковье', 'маршрутка', 'попасть', 'в', 'дтп', '5', 'пострадать']","['в', 'дтп', 'с', 'маршрутка', 'в', 'подмосковье', 'пострадать', '10', 'человек']",0
92,95,108,4233,"['президент', 'присвоить', 'глава', 'фмс', 'ранг', 'министр']","['глава', 'фмс', 'стать', 'федеральный', 'министр']",1
93,96,275,4380,"['в', 'киргизия', 'ужесточить', 'наказание', 'за', 'кража', 'невеста']","['в', 'киргизия', 'увеличить', 'срок', 'заключение', 'за', 'кража', 'невеста']",1
94,97,198,4312,"['в', 'московский', 'метро', 'появиться', 'киоск-сталинк']","['в', 'московский', 'метро', 'появиться', 'киоск', 'в', 'стиль', 'сталинский', 'ампир']",1
95,98,35,4144,"['дворник', 'лопата', 'сломать', 'московский', 'школьник', 'челюсть']","['московский', 'дворник', 'сломать', 'школьник', 'челюсть', 'за', 'бросить', 'снежок']",1
96,99,33,4145,"['барак', 'обама', 'определиться', 'с', 'кандидатура', 'на', 'пост', 'глава', 'цру']","['обама', 'найти', 'кандидат', 'на', 'пост', 'глава', 'цру']",1
97,100,36,4146,"['пожар', 'в', 'колония', 'в', 'вологодский', 'область', 'унести', 'жизнь', '3', 'заключить']","['при', 'пожар', 'в', 'вологодский', 'колония', 'погибнуть', 'трое', 'заключить']",1
98,101,39,4146,"['пожар', 'в', 'колония', 'в', 'вологодский', 'обл', 'есть', 'погибший']","['при', 'пожар', 'в', 'вологодский', 'колония', 'погибнуть', 'трое', 'заключить']",1
99,102,45,4147,"['авиакатастрофа', 'в', 'перу', 'унести', 'жизнь', 'семь', 'человек']","['при', 'крушение', 'вертолёт', 'в', 'перу', 'погибнуть', 'семь', 'человек']",1
100,103,112,4234,"['renault', 'сократить', '7,5', 'тыс', 'сотрудник', 'из-за', 'кризис']","['renault', 'сократить', '7,5', 'тысяча', 'рабочий', 'место', 'в', 'франция']",1
101,104,44,4148,"['в', 'перу', 'российский', 'турист', 'отравиться', '``', 'лиана', 'мёртвый', ""''""]","['в', 'перу', 'найти', 'мёртвый', 'российский', 'турист']",0
102,105,40,4149,"['япония', 'заявить', 'протест', 'китай', 'в', 'связь', 'с', 'территориальный', 'спор']","['новый', 'правительство', 'япония', 'впервые', 'выразить', 'протест', 'китай']",0
103,106,43,4150,"['``', 'лайнер', 'мечта', ""''"", 'стоимость', '$', '200', 'млн', 'загореться', 'в', 'аэропорт', 'бостон']","['в', 'аэропорт', 'бостон', 'загореться', '``', 'лайнер', 'мечта', ""''""]",1
104,107,135,4235,"['велоспорт', 'мочь', 'исключить', 'из', 'олимпийский', 'программа']","['велоспорт', 'грозить', 'исключение', 'из', 'программа', 'олимпийский', 'игра']",1
105,108,41,4151,"['итальянский', 'generali', 'удвоить', 'доля', 'в', '``', 'ингосстрах', ""''""]","['итальянец', 'удвоить', 'свой', 'доля', 'в', '``', 'ингосстрах', ""''""]",1
106,109,134,4236,"['штат', 'нью-йорк', 'ограничить', 'торговля', 'оружие']","['штат', 'нью-йорк', 'ужесточить', 'закон', 'о', 'контроль', 'за', 'оборот', 'оружие']",1
107,110,207,4314,"['в', 'челябинск', 'возбудить', 'уголовный', 'дело', 'о', 'клевета', 'на', 'ф.вяткин']","['возбудить', 'дело', 'о', 'клевета', 'на', 'глава', 'челябинский', 'облсуд']",1
108,111,143,4237,"['неизвестный', 'открыть', 'огонь', 'в', 'бизнес-школа', 'штат', 'миссури']","['в', 'сент-луис', 'преступник', 'открыть', 'огонь', 'в', 'бизнес-школа']",1
109,112,42,4152,"['следователь', 'назвать', 'окончательный', 'причина', 'смерть', 'эми', 'уайнхаус']","['повторный', 'расследование', 'подтвердить', 'причина', 'смерть', 'эми', 'уайнхаус']",0
110,113,139,4238,"['мужчина', 'и', 'женщина', 'скончаться', 'в', 'результат', 'стрельба', 'в', 'колледж', 'кентукк']","['в', 'результат', 'стрельба', 'в', 'колледж', 'в', 'кентукк', 'погибнуть', 'два', 'человек']",1
111,114,197,4315,"['умереть', 'знаменитый', 'тренер', 'сборная', 'ссср', 'по', 'биатлон', 'в.иерусалимский']","['умереть', 'бывший', 'тренер', 'сборная', 'ссср', 'по', 'биатлон']",1
112,115,282,4382,"['в', 'петербург', 'у', 'отделение', 'полиция', 'произойти', 'взрыв', 'есть', 'пострадать']","['у', 'пункт', 'полиция', 'в', 'петербург', 'произойти', 'взрыв']",0
113,116,142,4239,"['в', 'новокузнецк', 'скончаться', 'третий', 'пострадать', 'при', 'взрыв', 'газ']","['в', 'новокузнецк', 'умереть', 'третий', 'пострадать', 'при', 'взрыв', 'газ']",1
114,117,141,4240,"['в', 'москва', 'автомобиль', 'протаранить', 'остановка', 'ранить', '4', 'человек']","['в', 'москва', 'автомобиль', 'врезаться', 'в', 'остановка']",1
115,118,52,4153,"['гильдия', 'режиссёр', 'сша', 'объявить', 'претендент', 'на', 'премия']","['гильдия', 'режиссёр', 'сша', 'назвать', 'претендент', 'на', 'ежегодный', 'премия']",1
116,119,194,4316,"['литва', 'заморозить', 'счёт', 'российский', 'чиновник', 'из', '``', 'список', 'магнитский', ""''""]","['литва', 'заморозить', 'связанный', 'с', 'дело', 'магнитский', 'счёт']",1
117,120,140,4242,"['глава', 'подмосковный', 'красноармейск', 'заподозрить', 'в', 'мошенничество']","['на', 'глава', 'подмосковный', 'красноармейск', 'завести', 'дело']",0
118,121,136,4243,"['в', '``', 'ер', ""''"", 'определиться', 'с', 'сумма', 'штраф', 'за', 'курение']","['депутат', 'определиться', 'с', 'сумма', 'штраф', 'за', 'курение', 'в', 'общественный', 'место']",1
119,122,133,4244,"['священник', 'поддержать', 'pussy', 'riot', 'запретить', 'служить', 'в', 'церковь']","['захотеть', 'извиниться', 'перед', 'pussy', 'riot', 'священник', 'запретить', 'в', 'служение']",0
120,123,280,4383,"['в', 'турция', 'оползень', 'накрыть', 'футбольный', 'стадион', '7', 'погибнуть']","['в', 'турция', 'оползень', 'накрыть', 'футбольный', 'стадион']",0
121,124,54,4155,"['ан-24', 'с', 'хоккеист', 'на', 'борт', 'выкатиться', 'за', 'предел', 'впп', 'в', 'саранск']","['самолёт', 'с', 'хоккеист', 'выкатиться', 'за', 'предел', 'впп', 'в', 'саранск']",0
122,125,55,4156,"['apple', 'выпустить', 'пластиковый', 'iphone', 'для', 'бедный']","['apple', 'приписать', 'план', 'выпустить', 'пластиковый', 'iphone']",1
123,126,206,4317,"['взрыв', 'газ', 'в', 'красноярск', 'семеро', 'пострадать']","['семь', 'человек', 'пострадать', 'при', 'взрыв', 'газ', 'в', 'красноярск']",1
124,127,196,4318,"['сергей', 'филин', 'в', 'большой', 'театр', 'наслать', 'временной', 'замена']","['в', 'большой', 'театр', 'наслать', 'временной', 'замена', 'филин']",1
125,128,50,4157,"['дело', 'о', 'дтп', 'на', 'ленинский', 'вернуть', 'в', 'прокуратура']","['дело', 'о', 'дтп', 'на', 'ленинский', 'проспект', 'вернуть', 'в', 'прокуратура']",1
126,129,11998,4246,"['в', 'лондон', 'вертолёт', 'столкнуться', 'с', 'строительный', 'кран', 'и', 'разбиться']","['в', 'центр', 'лондон', 'вертолёт', 'врезаться', 'в', 'строительный', 'кран']",1
127,130,51,4158,"['защита', 'два', 'фигурант', '``', 'болотный', 'дело', ""''"", 'подать', 'жалоба', 'в', 'еспча']","['двое', 'фигурант', '``', 'болотный', 'дело', ""''"", 'обратиться', 'в', 'еспча']",0
128,131,205,4319,"['тройной', 'теракт', 'в', 'ирак', 'унести', 'жизнь', '17', 'человек']","['при', 'тройной', 'теракт', 'в', 'ирак', 'погибнуть', '17', 'человек']",1
129,132,202,4320,"['право', 'полицейский', 'на', 'проникновение', 'в', 'жилище', 'решить', 'ограничить']","['госдума', 'предложить', 'ограничить', 'полиция', 'в', 'право', 'проникать', 'в', 'жилище']",0
130,133,274,4384,"['российский', 'паспорт', 'заменить', '``', 'пластик', ""''"", 'с', '2015г']","['с', '2015', 'год', 'паспорт', 'заменить', 'пластиковый', 'карта']",1
131,134,46,4159,"['сирийский', 'повстанец', 'обменять', '48', 'иранец', 'на', '2', 'тыс', 'свой', 'соратник']","['сирийский', 'повстанец', 'обменять', '48', 'иранец', 'на', '2130', 'свой', 'соратник']",1
132,136,144,4247,"['не', 'всё', 'единоросс', 'поддержать', 'губернаторский', 'закон', 'о', 'митинг']","['при', 'падение', 'вертолёт', 'в', 'лондон', 'погибнуть', 'два', 'человек']",-1
133,137,270,4385,"['королева', 'нидерланды', 'решить', 'отречься', 'от', 'престол']","['королева', 'нидерланды', 'отречься', 'от', 'престол']",1
134,138,270,4386,"['королева', 'нидерланды', 'решить', 'отречься', 'от', 'престол']","['королева', 'нидерланды', 'назвать', 'дата', 'передача', 'престол']",0
