,pair_id,id_1,id_2,text_1,text_2,is_paraphrase,jaccard,levenshtein,synonyms,hyponyms,hypernyms,symbols,numbers,short_forms,voice_change,adjectivization,adverbialization,relativization,predicate_change,prep_var,abbreviations,inversion
31,32,242,4360,"['лдпр', '80', '%', 'жителей', 'россии', 'поддерживают', 'антитабачный', 'закон']","['госдума', 'приняла', 'антитабачный', 'законопроект', 'во', 'втором', 'чтении']",-1,0.07142857142857142,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,34,186,4299,"['ск', 'выяснит', 'был', 'ли', 'подкуп', 'свидетеля', 'по', 'делу', 'ю.буданова']","['ск', 'проверит', 'информацию', 'о', 'подкупе', 'свидетеля', 'по', 'делу', 'об', 'убийстве', 'буданова']",1,0.35714285714285715,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,35,182,4300,"['ебрр', 'повысил', 'прогноз', 'роста', 'экономики', 'рф', 'в', '2013г']","['ебрр', 'повысил', 'прогноз', 'по', 'росту', 'экономики', 'россии']",0,0.5,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,36,14,4124,"['в', 'ватикане', 'перестали', 'принимать', 'платежи', 'банковскими', 'картами']","['цб', 'италии', 'запретил', 'платежи', 'банковскими', 'картами', 'в', 'ватикане']",1,0.5,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,37,117,4224,"['в', 'германии', 'начался', 'процесс', 'по', 'делу', 'российских', 'шпионов', 'супругов', 'аншлаг']","['в', 'германии', 'начался', 'процесс', 'над', 'российскими', 'шпионами']",1,0.5454545454545454,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,38,190,4302,"['глава', 'управы', 'района', 'северное', 'медведково', 'задержан', 'за', 'взятку']","['главу', 'управы', 'северное', 'медведково', 'поймали', 'на', 'взятке']",1,0.5,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,39,118,4225,"['``', 'болотное', 'дело', ""''"", 'в', 'скр', 'на', 'допрос', 'ждут', 'блогера', 'митю', 'алешковского']","['митю', 'алешковского', 'вызвали', 'на', 'допрос', 'по', '``', 'болотному', 'делу', ""''""]",1,0.5714285714285714,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,40,19,4125,"['сша', 'получат', '$', '1,4', 'млрд', 'за', 'аварию', 'на', 'нефтяной', 'платформе', 'в', 'мексиканском', 'заливе']","['владелец', 'платформы', 'deepwater', 'horizon', 'оштрафован', 'на', '1,4', 'миллиарда', 'долларов']",1,0.15789473684210525,44,0,0,0,1,0,1,0,0,0,0,0,0,0,0
39,41,21,4126,"['корреспондента', 'российского', 'телеканала', 'ранили', 'в', 'пригороде', 'дамаска']","['в', 'сирии', 'ранили', 'корреспондента', 'российского', 'телеканала']",1,0.625,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,42,20,4127,"['взрыв', 'на', 'заправочной', 'станции', 'в', 'дамаске', 'унес', 'жизни', '11', 'человек']","['при', 'взрыве', 'на', 'автозаправке', 'в', 'дамаске', 'погибли', '11', 'человек']",1,0.46153846153846156,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,43,180,4303,"['в', 'эритрее', 'произошла', 'попытка', 'государственного', 'переворота']","['в', 'эритрее', 'произошла', 'попытка', 'военного', 'переворота']",1,0.7142857142857143,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,44,17,4128,"['старейший', 'банк', 'швейцарии', 'закрывается', 'из-за', 'американских', 'клиентов']","['старейший', 'банк', 'швейцарии', 'закрылся', 'из-за', 'иска', 'властей', 'сша']",0,0.36363636363636365,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,45,115,4226,"['экономический', 'ущерб', 'от', '``', 'арабской', 'весны', ""''"", 'составит', '$', '225', 'млрд']","['оценку', 'убытков', 'от', '``', 'арабской', 'весны', ""''"", 'повысили', 'до', '225', 'миллиардов', 'долларов']",1,0.35294117647058826,57,0,1,0,1,0,1,0,0,0,0,0,0,0,1
44,46,18,4129,"['марокканские', 'бедуины', 'нашли', 'в', 'сахаре', 'уникальный', 'марсианский', 'метеорит']","['в', 'сахаре', 'обнаружен', 'рекордно', 'влажный', 'марсианский', 'метеорит']",0,0.36363636363636365,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,47,16,4130,"['пошел', 'на', 'посадку', '``', 'аэросвит', ""''"", 'начал', 'процедуру', 'банкротства']","['украинский', 'суд', 'начал', 'процедуру', 'банкротства', 'компании', '``', 'аэросвит', ""''""]",1,0.5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,48,258,4361,"['в', 'египетский', 'суэц', 'из-за', 'беспорядков', 'введены', 'правительственные', 'войска']","['в', 'египетский', 'суэц', 'ввели', 'войска']",0,0.625,57,0,0,0,0,0,0,1,1,0,0,0,0,0,0
47,49,119,4227,"['ржд', 'подало', 'иск', 'о', 'взыскании', '2', 'млн', 'рублей', 'с', 'apple']","['ржд', 'через', 'суд', 'потребовали', 'с', 'apple', '2', 'миллиона', 'рублей']",1,0.35714285714285715,59,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,50,261,4362,"['умер', 'ветеран', 'правозащитного', 'движения', 'в.абрамкин']","['умер', 'ветеран', 'правозащитного', 'движения', 'валерий', 'абрамкин']",1,0.5714285714285714,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,51,260,4363,"['в', 'египте', 'приговорили', 'к', 'смерти', 'участников', 'погрома', 'на', 'стадионе', 'в', 'порт-саиде']","['в', 'египте', 'вынесен', 'смертный', 'приговор', 'за', 'погром', 'на', 'стадионе']",1,0.35714285714285715,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,52,257,4364,"['в', 'египетский', 'порт-саид', 'вводят', 'войска', 'из-за', 'разбушевавшихся', 'фанатов']","['египетская', 'армия', 'блокировала', 'порт-саид']",0,0.2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,53,259,4365,"['в', 'подмосковье', 'накрыли', 'сходку', 'криминальных', 'авторитетов']","['на', 'сходке', 'криминальных', 'авторитетов', 'в', 'подмосковье', 'задержаны', '23', 'человека']",1,0.5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,54,262,4366,"['пожар', 'в', 'новостройке', 'на', 'юго-западе', 'москвы', '10', 'погибших']","['в', 'пожаре', 'на', 'юго-западе', 'москвы', 'погибли', '9', 'человек']",0,0.6,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,55,256,4367,"['первый', 'patriot', 'в', 'турции', 'приведен', 'в', 'боевую', 'готовность']","['первая', 'батарея', 'patriot', 'заступила', 'на', 'боевое', 'дежурство', 'в', 'турции']",1,0.45454545454545453,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,56,109,4228,"['работа', 'генконсульства', 'рф', 'в', 'сирийском', 'алеппо', 'временно', 'приостановлена']","['рф', 'приостановила', 'деятельность', 'консульства', 'в', 'алеппо']",1,0.4,70,0,0,0,0,0,0,1,1,0,0,0,0,0,0
55,57,265,4368,"['сми', 'власти', 'просят', 'жителей', 'крымска', 'вернуть', 'часть', 'компенсаций']","['от', 'жителей', 'крымска', 'потребовали', 'вернуть', 'часть', 'материальной', 'помощи']",1,0.3333333333333333,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,58,268,4369,"['в', 'главном', 'здании', 'мгу', 'загорелась', 'столовая']","['из', 'главного', 'здания', 'мгу', 'эвакуированы', 'около', '300', 'человек']",-1,0.16666666666666666,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,59,121,4229,"['пропавший', 'на', 'эльбрусе', 'альпинист', 'найден', 'мертвым', 'на', 'высоте', '5', 'км']","['на', 'эльбрусе', 'нашли', 'мертвым', 'пропавшего', 'московского', 'альпиниста']",1,0.45454545454545453,68,0,0,0,0,0,0,1,1,0,0,0,0,0,0
58,60,266,4370,"['в', 'правительстве', 'вновь', 'высказались', 'за', 'муниципальный', 'фильтр', 'на', 'выборах']","['правительство', 'выступило', 'против', 'отмены', 'муниципального', 'фильтра', 'для', 'парламентских', 'партий']",-1,0.2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,61,185,4304,"['рф', 'отправила', 'за', 'российскими', 'гражданами', 'в', 'сирию', 'два', 'самолета']","['мчс', 'отправляет', 'два', 'самолета', 'для', 'вывоза', 'россиян', 'из', 'сирии']",1,0.2,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,62,267,4371,"['при', 'пожаре', 'в', 'ночном', 'клубе', 'в', 'бразилии', 'погибли', '245', 'человек']","['при', 'пожаре', 'в', 'бразильском', 'ночном', 'клубе', 'погибли', '90', 'человек']",0,0.6363636363636364,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,63,269,4371,"['при', 'пожаре', 'в', 'ночном', 'клубе', 'в', 'бразилии', 'погибли', 'более', '200', 'человек']","['при', 'пожаре', 'в', 'бразильском', 'ночном', 'клубе', 'погибли', '90', 'человек']",0,0.5833333333333334,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,64,264,4372,"['главный', '``', 'барометр', ""''"", 'сша', 'отдает', '``', 'оскар', ""''"", 'фильму', '``', 'операция', '``', 'арго', ""''""]","['гильдия', 'продюсеров', 'сша', 'назвала', 'операцию', '„арго', '“', 'фильмом', 'года']",0,0.1875,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,65,190,4305,"['глава', 'управы', 'района', 'северное', 'медведково', 'задержан', 'за', 'взятку']","['пойманного', 'на', 'взятке', 'главу', 'управы', 'северное', 'медведково', 'уволили']",-1,0.45454545454545453,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,66,263,4373,"['премьер', 'эфиопии', 'возглавил', 'африканский', 'союз']","['премьер-министр', 'эфиопии', 'возглавил', 'африканский', 'союз']",1,0.6666666666666666,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,67,26,4131,"['во', 'флориде', 'самолет', 'упал', 'на', 'дом', '3', 'погибших']","['самолет', 'упал', 'на', 'жилой', 'дом', 'во', 'флориде']",0,0.6666666666666666,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,68,27,4132,"['пожар', 'в', 'покровской', 'больнице', 'двое', 'погибли', '50', 'эвакуированы']","['два', 'человека', 'погибли', 'при', 'пожаре', 'в', 'больнице', 'в', 'санкт-петербурге']",0,0.3333333333333333,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,69,28,4133,"['в', 'альпах', 'разбился', 'снегоход', 'с', 'российскими', 'туристами']","['группа', 'туристов', 'разбилась', 'на', 'снегоходе', 'в', 'альпах']",1,0.5555555555555556,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,70,120,4230,"['число', 'погибших', 'при', 'взрыве', 'в', 'университете', 'алеппо', 'превысило', '80']","['в', 'университете', 'алеппо', 'произошел', 'взрыв']",0,0.4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,71,24,4134,"['генконсул', 'рф', 'назвал', 'имена', 'россиян', 'погибших', 'в', 'альпах']","['стали', 'известны', 'имена', 'погибших', 'в', 'альпах', 'россиян']",1,0.5,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1
70,72,272,4374,"['французские', 'и', 'малийские', 'военнослужащие', 'выбили', 'исламистов', 'из', 'тимбукту']","['французские', 'и', 'малийские', 'войска', 'вошли', 'в', 'тимбукту']",1,0.36363636363636365,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,73,23,4135,"['у', 'берегов', 'аляски', 'произошло', 'землетрясение', 'магнитудой', '7.5']","['у', 'берегов', 'аляски', 'произошло', 'землетрясение', 'магнитудой', '7,7']",0,0.75,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,74,204,4306,"['принц', 'гарри', 'закончил', 'военную', 'службу', 'в', 'афганистане']","['британский', 'принц', 'гарри', 'завершил', 'службу', 'в', 'афганистане']",1,0.5555555555555556,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,75,271,4375,"['единоросс', 'получил', 'более', '90', '%', 'голосов', 'на', 'выборах', 'мэра', 'кемерово']","['единорос', 'набрал', '90', 'процентов', 'голосов', 'на', 'выборах', 'мэра', 'кемерово']",1,0.46153846153846156,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,76,195,4307,"['в', 'мали', 'режим', 'чрезвычайного', 'положения', 'продлили', 'на', '3', 'месяца']","['власти', 'мали', 'продлили', 'на', 'три', 'месяца', 'режим', 'чрезвычайного', 'положения']",1,0.6363636363636364,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,77,22,4136,"['жерар', 'депардье', 'прибыл', 'в', 'сочи', 'за', 'российским', 'паспортом']","['депардье', 'прилетел', 'в', 'сочи', 'за', 'российским', 'паспортом']",1,0.6666666666666666,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,78,114,4231,"['россия', 'даст', 'бангладеш', '$', '500', 'млн', 'на', 'строительство', 'первой', 'в', 'стране', 'аэс']","['``', 'росатом', ""''"", 'назвал', 'дату', 'строительства', 'аэс', 'в', 'бангладеш']",-1,0.23529411764705882,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,79,276,4376,"['бразилия', 'скорбит', 'по', '233', 'жертвам', 'пожара', 'в', 'клубе', 'kiss']","['в', 'бразилии', 'объявили', 'трехдневный', 'траур', 'по', 'жертвам', 'пожара', 'в', 'клубе']",1,0.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,80,32,4137,"['режим', 'чс', 'введен', 'в', 'якутии', 'из-за', 'нашествия', 'волков']","['в', 'якутии', 'ввели', 'режим', 'чс', 'из-за', 'волков']",1,0.875,82,0,0,0,0,0,0,1,1,0,0,0,0,0,0
79,81,31,4138,"['на', 'трассе', 'в', 'пермском', 'крае', 'в', 'результате', 'дтп', 'погибло', '5', 'человек']","['в', 'колумбии', 'в', 'дтп', 'погибли', '11', 'человек']",-1,0.3333333333333333,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,82,29,4139,"['у', 'гражданина', 'таджикистана', 'в', 'москве', 'изъяли', '13', 'кг', 'героина']","['в', 'москве', 'у', 'таджика', 'изъяли', '13', 'килограммов', 'героина']",1,0.5454545454545454,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,83,200,4308,"['pussy', 'riot', 'сразятся', 'за', 'британскую', 'премию', 'с', 'rolling', 'stones', 'и', 'д.боуи']","['pussy', 'riot', 'выдвинуты', 'на', 'соискание', 'премии', 'nme']",0,0.2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,84,281,4377,"['шесть', 'моряков', 'с', 'перевернувшегося', 'в', 'японском', 'море', 'судна', 'погибли']","['в', 'японском', 'море', 'найдены', 'тела', 'шести', 'погибших', 'моряков', 'с', 'шанса-101']",0,0.5833333333333334,69,0,0,0,0,0,0,0,1,0,0,0,0,0,1
83,85,203,4308,"['группу', 'pussy', 'riot', 'выдвинули', 'на', 'престижную', 'британскую', 'премию']","['pussy', 'riot', 'выдвинуты', 'на', 'соискание', 'премии', 'nme']",0,0.5,60,0,0,0,0,0,0,1,1,0,0,0,0,0,0
84,86,279,4378,"['возбуждено', 'уголовное', 'дело', 'о', 'строительстве', 'дороги', 'к', 'даче', 'зятя', 'а.сердюкова']","['по', 'факту', 'строительства', 'дороги', 'к', 'даче', 'зятя', 'сердюкова', 'возбудили', 'дело']",1,0.5384615384615384,83,0,0,0,0,0,0,1,1,0,0,0,0,0,0
85,87,30,4140,"['скончалась', 'старейшая', 'жительница', 'сша']","['скончался', 'старейший', 'гражданин', 'сша']",0,0.6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,88,199,4309,"['mcdonald', '’', 's', 'заплатит', 'штраф', 'в', '$', '700', 'тыс', 'за', 'продажу', 'нехаляльного', 'бургера']","['mcdonald', ""'s"", 'согласился', 'заплатить', 'мусульманам', '700', 'тысяч', 'долларов']",0,0.16666666666666666,57,0,0,0,1,0,1,0,0,0,0,1,0,0,0
87,89,277,4379,"['минобрнауки', 'предлагает', 'выплачивать', 'усыновителям', 'инвалидов', '100', 'тыс', 'руб']","['минобрнауки', 'предложило', 'увеличить', 'выплаты', 'усыновителям', 'инвалидов']",1,0.2727272727272727,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,90,210,4310,"['камаз', 'оставил', 'без', 'газа', 'более', '20', 'тыс', 'человек', 'в', 'грозном']","['в', 'грозном', 'камаз', 'оставил', 'без', 'газа', 'более', '20', 'тысяч', 'человек']",1,0.8181818181818182,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,91,37,4141,"['боевики', 'на', 'северном', 'кавказе', 'готовили', 'теракты', 'на', 'рождество']","['убитые', 'в', 'кабардино-балкарии', 'боевики', 'готовили', 'серию', 'терактов', 'на', 'рождество']",0,0.45454545454545453,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,92,34,4142,"['хиллари', 'клинтон', 'возвращается', 'к', 'работе', 'после', 'болезни']","['хиллари', 'клинтон', 'вернулась', 'на', 'работу']",1,0.3333333333333333,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,93,209,4311,"['в', 'подмосковье', 'маршрутка', 'попала', 'в', 'дтп', '5', 'пострадавших']","['в', 'дтп', 'с', 'маршруткой', 'в', 'подмосковье', 'пострадали', '10', 'человек']",0,0.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,95,108,4233,"['президент', 'присвоил', 'главе', 'фмс', 'ранг', 'министра']","['глава', 'фмс', 'стал', 'федеральным', 'министром']",1,0.375,62,0,1,3,0,0,0,0,0,0,0,0,0,0,0
93,96,275,4380,"['в', 'киргизии', 'ужесточили', 'наказание', 'за', 'кражу', 'невест']","['в', 'киргизии', 'увеличили', 'срок', 'заключения', 'за', 'кражу', 'невест']",1,0.5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,97,198,4312,"['в', 'московском', 'метро', 'появятся', 'киоски-сталинки']","['в', 'московском', 'метро', 'появятся', 'киоски', 'в', 'стиле', 'сталинского', 'ампира']",1,0.4444444444444444,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,98,35,4144,"['дворник', 'лопатой', 'сломал', 'московскому', 'школьнику', 'челюсть']","['московский', 'дворник', 'сломал', 'школьнику', 'челюсть', 'за', 'брошенный', 'снежок']",1,0.5555555555555556,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,99,33,4145,"['барак', 'обама', 'определился', 'с', 'кандидатурой', 'на', 'пост', 'главы', 'цру']","['обама', 'нашел', 'кандидата', 'на', 'пост', 'главы', 'цру']",1,0.45454545454545453,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
